first_name,middle_name,last_name,address,city,state,zip_code,phone,email,Original
John,Katherine,Johnson,904 Veronica Knoll Apt. 253,Port Jennifer,Kansas,95861,427-303-1082,josephrodgers@example.org,Y
Jamie,Megan,Green,5957 Julie River Apt. 938,Lopezfort,Nevada,36667,+1-247-257-0669,castrobryan@example.com,Y
Mark,Gloria,Morales,20258 Nathaniel Brook Suite 133,Gonzalesbury,Alabama,72403,(547)466-9862,raymond61@example.net,Y
John,Katherine,Johnson,904 Veronica Knoll # 253,Port Jennifer,,95861,+1-968-730-9459x32164, ,N
John,K,Johnson,904 Veronica Knoll # 253,,Kansas,,427-303-1082,josephrodgers@example.org ,N
Jamie,Megan,Green,5957 Julie River # 938,Lopezfort,West Virginia,36667,+1-247-257-0669, ,N
Jamie,Megan,Green,5957 Julie River Apartment 938,Lopezfort,Michigan,,,castrobryan@example.com ,N
Jamie,Megan,Green,5957 Julie River APT 938,Lopezfort,,36667,+1-247-257-0669,paula71@example.net ,N
Mark,Gloria,Morales,20258 Nathaniel Brook STE 133,,Tennessee,72403,001-203-563-1832x219, ,N
Mark,Gloria,Morales,20258 Nathaniel Brook STE 133,Gonzalesbury,Alabama,72403,837.552.9953,raymond61@example.net ,N
