first_name,middle_name,last_name,address,city,state,zip_code,phone,email,Original
John,Katherine,Johnson,904 Veronica Knoll Apt. 253,Port Jennifer,Kansas,95861,427-303-1082,josephrodgers@example.org,Y
Jamie,Megan,Green,5957 Julie River Apt. 938,Lopezfort,Nevada,36667,+1-247-257-0669,castrobryan@example.com,Y
Mark,Gloria,Morales,20258 Nathaniel Brook Suite 133,Gonzalesbury,Alabama,72403,(547)466-9862,raymond61@example.net,Y
Jacob,Michael,Figueroa,779 Lydia Cove,Chandlerland,Ohio,43943,942-763-7543,morrishannah@example.com,Y
Daniel,Teresa,Smith,9577 Jordan Lakes,Santiagoland,Oklahoma,15302,(301)805-4377x335,hjohnson@example.net,Y
Kristina,Sophia,Rodriguez,980 Jennifer Court Apt. 195,Lake Valerie,Texas,53398,8865681590,jasmineallen@example.net,Y
Elizabeth,Sherry,Joseph,0359 Bridges Mills,South Mary,Wyoming,77003,+1-366-298-3163x7224,salvarez@example.net,Y
Logan,Crystal,Perry,2467 John Views,Lorichester,Washington,67760,(883)590-8030,debracampbell@example.org,Y
Jeanne,Sharon,Navarro,4432 Hicks Crest Suite 614,North Troy,Pennsylvania,47544,729-700-5524x25893,joseph37@example.com,Y
Jennifer,Brian,Peterson,030 Morgan Valley Suite 365,North Jessehaven,Mississippi,22224,(334)546-5528x0173,michelejenkins@example.org,Y
Diana,Ronald,Hicks,76379 Schmidt Estate,Jasonton,New York,34499,877-540-0530x99276,mark81@example.org,Y
Jasmine,Karla,Thomas,76645 Leonard Key Apt. 066,Joshuahaven,Georgia,04868,913.450.4735x8487,amarshall@example.org,Y
John,Elizabeth,Blackwell,889 Lisa Highway,North Michelle,Alabama,91520,(460)726-3790x4642,nwilliamson@example.net,Y
Samantha,John,Ewing,8234 Buckley Neck Apt. 239,Taylortown,Wyoming,57540,945.439.0191,alexander66@example.com,Y
Amanda,Gregory,Grant,814 Richard Stravenue Apt. 399,New Paul,Vermont,78164,+1-999-431-8148,matthewortega@example.com,Y
Donna,Dean,Ball,07341 Smith Fall Apt. 471,North Victor,Iowa,51997,001-483-577-2862,harry70@example.net,Y
